,latent,label
0,0.019448649138212204,5
1,0.0192570723593235,2
2,0.02110462822020054,6
3,0.01996956765651703,0
4,0.01996956765651703,0
5,0.018452631309628487,3
6,0.019077301025390625,2
7,0.019809262827038765,0
8,0.01896490529179573,1
9,0.019565140828490257,5
10,0.019324779510498047,2
11,0.018638327717781067,3
12,0.019130030646920204,2
13,0.02011304348707199,0
14,0.019146909937262535,2
15,0.019146909937262535,2
16,0.02054663375020027,7
17,0.02054663375020027,7
18,0.019673336297273636,5
19,0.019673336297273636,5
20,0.020828139036893845,6
21,0.018872998654842377,1
22,0.019471578299999237,5
23,0.019471578299999237,5
24,0.019087890163064003,2
25,0.019087890163064003,2
26,0.019544515758752823,5
27,0.020541992038488388,7
28,0.020541992038488388,7
29,0.018626056611537933,3
30,0.019451763480901718,5
31,0.01910083182156086,2
32,0.01925588957965374,2
33,0.01879838854074478,1
34,0.02014460414648056,0
35,0.019423313438892365,2
36,0.019646864384412766,5
37,0.01926542818546295,2
38,0.01974598690867424,5
39,0.01974598690867424,5
40,0.01990474760532379,0
41,0.020211700350046158,7
42,0.018638327717781067,3
43,0.018540991470217705,3
44,0.020267672836780548,7
45,0.020267672836780548,7
46,0.020033322274684906,0
47,0.0191714596003294,2
48,0.019259901717305183,2
49,0.019259901717305183,2
50,0.01988973841071129,0
51,0.019295327365398407,2
52,0.019336525350809097,2
53,0.019669098779559135,5
54,0.018562495708465576,3
55,0.02003968507051468,0
56,0.019114449620246887,2
57,0.01860320381820202,3
58,0.019229115918278694,2
59,0.020345916971564293,7
60,0.020345916971564293,7
61,0.019947050139307976,0
62,0.019545864313840866,5
63,0.019677888602018356,5
64,0.019254300743341446,2
65,0.01919902302324772,2
66,0.01919902302324772,2
67,0.019513167440891266,5
68,0.019513167440891266,5
69,0.020232995972037315,7
70,0.018878553062677383,1
71,0.01877063885331154,1
72,0.020501580089330673,7
73,0.01817491091787815,3
74,0.019762491807341576,5
75,0.019762491807341576,5
76,0.01931692846119404,2
77,0.01931692846119404,2
78,0.019912179559469223,0
79,0.019912179559469223,0
80,0.018917199224233627,1
81,0.021391110494732857,6
82,0.019059225916862488,1
83,0.019403710961341858,2
84,0.019417883828282356,2
85,0.018596461042761803,3
86,0.018596461042761803,3
87,0.019274543970823288,2
88,0.01847275346517563,3
89,0.01996671035885811,0
90,0.019350148737430573,2
91,0.019350148737430573,2
92,0.019001325592398643,1
93,0.020396193489432335,7
94,0.020396193489432335,7
95,0.01927110180258751,2
96,0.019768472760915756,5
97,0.019768472760915756,5
98,0.018043553456664085,3
99,0.01927316002547741,2
100,0.01927316002547741,2
101,0.01927316002547741,2
